CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Score,RFM_Segment,RFM_Level_3,RFM_Level_5
13015,53,32,900.1499999999999,2,4,4,10,244,Top,Safe
13016,73,10,184.10999999999999,2,3,3,8,233,Middle,ImmediatelyAddress
13018,16,94,1483.6200000000006,4,4,4,12,444,Top,Whale
13021,4,28,585.5,4,4,4,12,444,Top,Whale
13023,64,10,181.48999999999998,2,3,3,8,233,Middle,ImmediatelyAddress
13026,1,9,391.79999999999995,4,2,4,10,424,Top,Safe
13027,114,5,1344.0,2,2,4,8,224,Middle,ImmediatelyAddress
13028,23,10,160.20000000000002,3,3,3,9,333,Top,Safe
13029,139,2,315.9,2,1,3,6,213,Middle,Concerning
13030,11,24,228.61,4,4,3,11,443,Top,Whale
13032,52,8,115.23,3,2,2,7,322,Middle,Middle
13033,357,3,55.050000000000004,1,1,1,3,111,Low,ImmediatelyAddress
13034,55,7,105.56,2,2,2,6,222,Middle,Concerning
13035,74,6,262.70000000000005,2,2,3,7,223,Middle,Middle
13037,138,15,237.22,2,3,3,8,233,Middle,ImmediatelyAddress
13038,291,4,75.6,1,1,2,4,112,Low,ImmediatelyAddress
13040,9,9,109.01,4,2,2,8,422,Middle,ImmediatelyAddress
13043,273,3,196.8,1,1,3,5,113,Low,Concerning
13044,291,9,150.84,1,2,3,6,123,Middle,Concerning
13045,99,4,45.34,2,1,1,4,211,Low,ImmediatelyAddress
13046,31,7,99.33000000000001,3,2,2,7,322,Middle,Middle
13047,57,42,757.7200000000001,2,4,4,10,244,Top,Safe
13048,14,31,479.40000000000003,4,4,4,12,444,Top,Whale
13049,64,3,122.1,2,1,2,5,212,Low,Concerning
13050,15,78,1177.8200000000002,4,4,4,12,444,Top,Whale
13052,212,3,72.6,1,1,2,4,112,Low,ImmediatelyAddress
13055,78,10,191.64,2,3,3,8,233,Middle,ImmediatelyAddress
13058,25,3,59.0,3,1,1,5,311,Low,Concerning
13060,254,4,62.39999999999999,1,1,2,4,112,Low,ImmediatelyAddress
13061,72,3,62.1,2,1,2,5,212,Low,Concerning
13062,191,2,32.4,1,1,1,3,111,Low,ImmediatelyAddress
13064,13,12,152.28,4,3,3,10,433,Top,Safe
13065,373,2,30.919999999999998,1,1,1,3,111,Low,ImmediatelyAddress
13066,24,11,94.10000000000001,3,3,2,8,332,Middle,ImmediatelyAddress
13067,82,3,21.44,2,1,1,4,211,Low,ImmediatelyAddress
13069,14,84,787.1300000000002,4,4,4,12,444,Top,Whale
13070,192,2,41.6,1,1,1,3,111,Low,ImmediatelyAddress
13072,267,1,29.700000000000003,1,1,1,3,111,Low,ImmediatelyAddress
13075,130,3,136.79999999999998,2,1,2,5,212,Low,Concerning
13077,1,22,147.99,4,4,3,11,443,Top,Whale
13078,3,61,1879.6699999999998,4,4,4,12,444,Top,Whale
13080,179,3,19.68,1,1,1,3,111,Low,ImmediatelyAddress
13081,12,199,5722.919999999999,4,4,4,12,444,Top,Whale
13082,157,10,216.8,1,3,3,7,133,Middle,Middle
13083,4,5,136.0,4,2,2,8,422,Middle,ImmediatelyAddress
13085,295,1,12.600000000000001,1,1,1,3,111,Low,ImmediatelyAddress
13089,4,335,11523.050000000007,4,4,4,12,444,Top,Whale
13090,9,30,661.3199999999998,4,4,4,12,444,Top,Whale
13091,28,5,105.41999999999999,3,2,2,7,322,Middle,Middle
13092,71,5,70.32,2,2,2,6,222,Middle,Concerning
13093,276,32,1302.5400000000002,1,4,4,9,144,Top,Safe
13094,130,5,376.32,2,2,4,8,224,Middle,ImmediatelyAddress
13095,71,1,9.36,2,1,1,4,211,Low,ImmediatelyAddress
13097,33,82,1281.7600000000002,3,4,4,11,344,Top,Whale
13098,1,106,4994.410000000001,4,4,4,12,444,Top,Whale
13101,234,2,25.5,1,1,1,3,111,Low,ImmediatelyAddress
13102,1,71,1555.1599999999999,4,4,4,12,444,Top,Whale
13104,3,4,243.96,4,1,3,8,413,Middle,ImmediatelyAddress
13106,133,1,76.5,2,1,2,5,212,Low,Concerning
13107,86,13,357.08,2,3,4,9,234,Top,Safe
13108,373,1,102.0,1,1,2,4,112,Low,ImmediatelyAddress
13109,60,10,153.73,2,3,3,8,233,Middle,ImmediatelyAddress
13110,31,31,297.79,3,4,3,10,343,Top,Safe
13113,1,50,2427.690000000001,4,4,4,12,444,Top,Whale
13115,12,22,503.76,4,4,4,12,444,Top,Whale
13116,138,5,77.74,2,2,2,6,222,Middle,Concerning
13117,22,11,178.95999999999998,3,3,3,9,333,Top,Safe
13118,20,15,126.64000000000001,3,3,2,8,332,Middle,ImmediatelyAddress
13120,239,1,30.599999999999998,1,1,1,3,111,Low,ImmediatelyAddress
13121,269,10,51.31999999999999,1,3,1,5,131,Low,Concerning
13122,240,9,157.83,1,2,3,6,123,Middle,Concerning
13124,90,50,831.0999999999999,2,4,4,10,244,Top,Safe
13126,5,32,417.3099999999999,4,4,4,12,444,Top,Whale
13127,78,4,68.7,2,1,2,5,212,Low,Concerning
13131,23,9,213.5,3,2,3,8,323,Middle,ImmediatelyAddress
13132,262,2,62.0,1,1,2,4,112,Low,ImmediatelyAddress
13133,274,2,39.7,1,1,1,3,111,Low,ImmediatelyAddress
13134,86,18,344.54,2,3,4,9,234,Top,Safe
13135,197,1,3096.0,1,1,4,6,114,Middle,Concerning
13136,56,26,556.96,2,4,4,10,244,Top,Safe
13137,11,129,681.6899999999998,4,4,4,12,444,Top,Whale
13138,22,11,174.02,3,3,3,9,333,Top,Safe
13139,16,39,1109.83,4,4,4,12,444,Top,Whale
13140,108,11,142.26,2,3,3,8,233,Middle,ImmediatelyAddress
13141,85,30,480.93000000000006,2,4,4,10,244,Top,Safe
13142,19,7,91.14,4,2,2,8,422,Middle,ImmediatelyAddress
13144,333,1,23.6,1,1,1,3,111,Low,ImmediatelyAddress
13145,92,1,45.0,2,1,1,4,211,Low,ImmediatelyAddress
13146,26,6,41.980000000000004,3,2,1,6,321,Middle,Concerning
13147,100,1,118.80000000000001,2,1,2,5,212,Low,Concerning
13148,29,85,943.1800000000001,3,4,4,11,344,Top,Whale
13149,14,14,309.8,4,3,3,10,433,Top,Safe
13151,296,11,184.60000000000002,1,3,3,7,133,Middle,Middle
13153,6,3,37.44,4,1,1,6,411,Middle,Concerning
13155,33,12,180.5,3,3,3,9,333,Top,Safe
13157,49,10,169.19999999999996,3,3,3,9,333,Top,Safe
13158,95,14,226.27,2,3,3,8,233,Middle,ImmediatelyAddress
13159,9,31,360.20000000000005,4,4,4,12,444,Top,Whale
13160,22,1,34.8,3,1,1,5,311,Low,Concerning
13161,313,1,27.0,1,1,1,3,111,Low,ImmediatelyAddress
13162,122,19,397.61,2,3,4,9,234,Top,Safe
13165,46,6,195.6,3,2,3,8,323,Middle,ImmediatelyAddress
13166,283,6,38.65,1,2,1,4,121,Low,ImmediatelyAddress
13167,19,12,122.06000000000002,4,3,2,9,432,Top,Safe
13168,36,19,190.66000000000003,3,3,3,9,333,Top,Safe
13169,252,1,23.4,1,1,1,3,111,Low,ImmediatelyAddress
13170,27,8,32.6,3,2,1,6,321,Middle,Concerning
13171,49,8,46.940000000000005,3,2,1,6,321,Middle,Concerning
13173,4,7,56.99,4,2,1,7,421,Middle,Middle
13174,16,66,506.76999999999987,4,4,4,12,444,Top,Whale
13176,46,12,86.25000000000001,3,3,2,8,332,Middle,ImmediatelyAddress
13177,65,4,67.35,2,1,2,5,212,Low,Concerning
13178,26,52,1231.3599999999997,3,4,4,11,344,Top,Whale
13182,45,2,20.04,3,1,1,5,311,Low,Concerning
13183,8,23,823.3000000000002,4,4,4,12,444,Top,Whale
13184,15,29,263.4199999999999,4,4,3,11,443,Top,Whale
13186,40,21,383.69999999999993,3,3,4,10,334,Top,Safe
13187,337,9,69.6,1,2,2,5,122,Low,Concerning
13189,19,6,64.2,4,2,2,8,422,Middle,ImmediatelyAddress
13192,95,18,233.56000000000003,2,3,3,8,233,Middle,ImmediatelyAddress
13193,61,7,40.45,2,2,1,5,221,Low,Concerning
13194,136,1,9.0,2,1,1,4,211,Low,ImmediatelyAddress
13196,11,21,336.48,4,3,3,10,433,Top,Safe
13198,10,39,604.78,4,4,4,12,444,Top,Whale
13199,4,23,2043.4399999999996,4,4,4,12,444,Top,Whale
13200,19,7,133.14999999999998,4,2,2,8,422,Middle,ImmediatelyAddress
13203,10,11,158.55999999999997,4,3,3,10,433,Top,Safe
13208,59,27,221.76999999999998,2,4,3,9,243,Top,Safe
13209,30,64,1076.39,3,4,4,11,344,Top,Whale
13210,94,6,95.84,2,2,2,6,222,Middle,Concerning
13211,95,8,164.14999999999998,2,2,3,7,223,Middle,Middle
13212,20,28,145.27,3,4,3,10,343,Top,Safe
13213,57,18,294.80000000000007,2,3,3,8,233,Middle,ImmediatelyAddress
13216,268,1,92.5,1,1,2,4,112,Low,ImmediatelyAddress
13220,220,4,19.689999999999998,1,1,1,3,111,Low,ImmediatelyAddress
13221,240,13,133.72,1,3,2,6,132,Middle,Concerning
13223,200,2,115.80000000000001,1,1,2,4,112,Low,ImmediatelyAddress
13224,60,24,578.0700000000002,2,4,4,10,244,Top,Safe
13225,3,7,1288.98,4,2,4,10,424,Top,Safe
13226,273,1,8.4,1,1,1,3,111,Low,ImmediatelyAddress
13228,81,1,179.0,2,1,3,6,213,Middle,Concerning
13229,226,2,36.75,1,1,1,3,111,Low,ImmediatelyAddress
13230,4,122,597.53,4,4,4,12,444,Top,Whale
13232,13,26,225.14000000000001,4,4,3,11,443,Top,Whale
13233,74,13,131.76000000000002,2,3,2,7,232,Middle,Middle
13235,212,11,185.15,1,3,3,7,133,Middle,Middle
13236,24,10,233.62000000000003,3,3,3,9,333,Top,Safe
13238,23,8,165.10000000000002,3,2,3,8,323,Middle,ImmediatelyAddress
13239,262,6,109.83000000000001,1,2,2,5,122,Low,Concerning
13240,96,17,160.19000000000003,2,3,3,8,233,Middle,ImmediatelyAddress
13242,112,1,20.8,2,1,1,4,211,Low,ImmediatelyAddress
13243,203,11,142.89,1,3,3,7,133,Middle,Middle
13244,93,4,17.9,2,1,1,4,211,Low,ImmediatelyAddress
13245,51,2,61.3,3,1,2,6,312,Middle,Concerning
13246,18,38,905.29,4,4,4,12,444,Top,Whale
13247,51,4,69.0,3,1,2,6,312,Middle,Concerning
13248,125,4,72.44,2,1,2,5,212,Low,Concerning
13249,93,5,310.86,2,2,3,7,223,Middle,Middle
13253,157,8,223.44,1,2,3,6,123,Middle,Concerning
13255,9,3,179.6,4,1,3,8,413,Middle,ImmediatelyAddress
13258,23,9,119.78999999999999,3,2,2,7,322,Middle,Middle
13259,62,21,95.30999999999999,2,3,2,7,232,Middle,Middle
13260,61,1,26.0,2,1,1,4,211,Low,ImmediatelyAddress
13261,286,4,441.6,1,1,4,6,114,Middle,Concerning
13262,263,1,6.959999999999999,1,1,1,3,111,Low,ImmediatelyAddress
13263,1,319,1467.1100000000004,4,4,4,12,444,Top,Whale
13265,53,14,263.15999999999997,2,3,3,8,233,Middle,ImmediatelyAddress
13266,11,44,944.27,4,4,4,12,444,Top,Whale
13267,3,45,964.1899999999999,4,4,4,12,444,Top,Whale
13268,18,101,802.3,4,4,4,12,444,Top,Whale
13269,1,73,1157.92,4,4,4,12,444,Top,Whale
13271,37,22,64.17,3,4,2,9,342,Top,Safe
13272,90,4,60.45,2,1,2,5,212,Low,Concerning
13273,113,2,14.05,2,1,1,4,211,Low,ImmediatelyAddress
13276,64,10,160.6,2,3,3,8,233,Middle,ImmediatelyAddress
13277,116,1,25.0,2,1,1,4,211,Low,ImmediatelyAddress
13278,41,9,82.53999999999999,3,2,2,7,322,Middle,Middle
13280,122,13,130.21,2,3,2,7,232,Middle,Middle
13282,18,9,309.20000000000005,4,2,3,9,423,Top,Safe
13283,186,1,17.0,1,1,1,3,111,Low,ImmediatelyAddress
13285,23,48,697.81,3,4,4,11,344,Top,Whale
13291,156,4,36.0,1,1,1,3,111,Low,ImmediatelyAddress
13292,39,5,86.9,3,2,2,7,322,Middle,Middle
13294,190,9,151.7,1,2,3,6,123,Middle,Concerning
13296,137,1,15.0,2,1,1,4,211,Low,ImmediatelyAddress
13297,8,13,525.18,4,3,4,11,434,Top,Whale
13300,169,1,19.8,1,1,1,3,111,Low,ImmediatelyAddress
13301,104,16,138.05,2,3,2,7,232,Middle,Middle
13302,155,1,63.75,1,1,2,4,112,Low,ImmediatelyAddress
13304,351,4,57.21,1,1,1,3,111,Low,ImmediatelyAddress
13305,4,12,264.49,4,3,3,10,433,Top,Safe
13308,23,9,143.56,3,2,3,8,323,Middle,ImmediatelyAddress
13309,7,23,365.0,4,4,4,12,444,Top,Whale
13310,28,14,243.12000000000003,3,3,3,9,333,Top,Safe
13311,4,10,127.67999999999999,4,3,2,9,432,Top,Safe
13313,22,13,242.56000000000003,3,3,3,9,333,Top,Safe
13314,2,11,133.70999999999998,4,3,2,9,432,Top,Safe
13316,37,18,1141.8600000000001,3,3,4,10,334,Top,Safe
13317,66,20,362.76,2,3,4,9,234,Top,Safe
13318,37,1,42.96,3,1,1,5,311,Low,Concerning
13319,5,91,2067.4000000000005,4,4,4,12,444,Top,Whale
13320,78,16,259.0,2,3,3,8,233,Middle,ImmediatelyAddress
13321,86,3,130.84,2,1,2,5,212,Low,Concerning
13322,17,8,89.49000000000001,4,2,2,8,422,Middle,ImmediatelyAddress
13323,3,4,270.5,4,1,3,8,413,Middle,ImmediatelyAddress
13324,36,14,1218.6599999999999,3,3,4,10,334,Top,Safe
13325,82,3,268.0,2,1,3,6,213,Middle,Concerning
13327,39,16,393.8,3,3,4,10,334,Top,Safe
13328,316,4,356.99999999999994,1,1,4,6,114,Middle,Concerning
13329,32,6,324.47999999999996,3,2,3,8,323,Middle,ImmediatelyAddress
13330,93,10,251.0,2,3,3,8,233,Middle,ImmediatelyAddress
13332,14,5,80.2,4,2,2,8,422,Middle,ImmediatelyAddress
13334,82,57,687.3200000000003,2,4,4,10,244,Top,Safe
13336,77,7,105.68,2,2,2,6,222,Middle,Concerning
13338,158,6,166.39999999999998,1,2,3,6,123,Middle,Concerning
13339,201,11,192.0,1,3,3,7,133,Middle,Middle
13340,45,26,2007.9599999999996,3,4,4,11,344,Top,Whale
13341,261,10,248.75,1,3,3,7,133,Middle,Middle
13343,178,5,94.3,1,2,2,5,122,Low,Concerning
13344,68,13,379.3,2,3,4,9,234,Top,Safe
13345,288,6,102.25,1,2,2,5,122,Low,Concerning
13347,70,4,168.6,2,1,3,6,213,Middle,Concerning
13348,64,1,10.2,2,1,1,4,211,Low,ImmediatelyAddress
13349,11,4,41.68,4,1,1,6,411,Middle,Concerning
13350,16,5,124.4,4,2,2,8,422,Middle,ImmediatelyAddress
13351,66,4,67.44,2,1,2,5,212,Low,Concerning
13352,60,7,111.06,2,2,2,6,222,Middle,Concerning
13354,71,8,108.54000000000002,2,2,2,6,222,Middle,Concerning
13355,122,7,125.0,2,2,2,6,222,Middle,Concerning
13356,80,9,226.71,2,2,3,7,223,Middle,Middle
13357,257,20,115.99000000000001,1,3,2,6,132,Middle,Concerning
13358,269,6,64.74000000000001,1,2,2,5,122,Low,Concerning
13359,64,2,42.60000000000001,2,1,1,4,211,Low,ImmediatelyAddress
13362,9,33,690.9,4,4,4,12,444,Top,Whale
13363,18,9,145.31,4,2,3,9,423,Top,Safe
13364,71,1,17.4,2,1,1,4,211,Low,ImmediatelyAddress
13365,34,28,544.64,3,4,4,11,344,Top,Whale
13368,257,8,211.35000000000002,1,2,3,6,123,Middle,Concerning
13369,366,3,62.300000000000004,1,1,2,4,112,Low,ImmediatelyAddress
13370,372,11,204.26999999999998,1,3,3,7,133,Middle,Middle
13372,90,4,89.51,2,1,2,5,212,Low,Concerning
13373,61,31,698.2499999999999,2,4,4,10,244,Top,Safe
13375,89,9,136.1,2,2,2,6,222,Middle,Concerning
13376,99,13,236.85,2,3,3,8,233,Middle,ImmediatelyAddress
13379,26,15,83.59,3,3,2,8,332,Middle,ImmediatelyAddress
13381,32,38,800.7900000000002,3,4,4,11,344,Top,Whale
13382,281,4,62.7,1,1,2,4,112,Low,ImmediatelyAddress
13384,31,25,896.9500000000002,3,4,4,11,344,Top,Whale
13385,330,5,110.6,1,2,2,5,122,Low,Concerning
13388,131,9,210.76999999999998,2,2,3,7,223,Middle,Middle
13389,11,11,167.97000000000003,4,3,3,10,433,Top,Safe
13394,2,33,665.8900000000001,4,4,4,12,444,Top,Whale
13395,185,4,41.76,1,1,1,3,111,Low,ImmediatelyAddress
13396,29,10,342.54,3,3,4,10,334,Top,Safe
13397,73,10,362.79999999999995,2,3,4,9,234,Top,Safe
13398,192,7,103.42999999999999,1,2,2,5,122,Low,Concerning
13402,127,9,138.51000000000002,2,2,2,6,222,Middle,Concerning
13403,18,1,15.0,4,1,1,6,411,Middle,Concerning
13404,213,2,41.6,1,1,1,3,111,Low,ImmediatelyAddress
13405,204,6,113.99000000000001,1,2,2,5,122,Low,Concerning
13408,2,98,5686.879999999999,4,4,4,12,444,Top,Whale
13410,75,5,125.84,2,2,2,6,222,Middle,Concerning
13411,107,5,94.65,2,2,2,6,222,Middle,Concerning
13414,134,7,168.45,2,2,3,7,223,Middle,Middle
13416,44,2,59.400000000000006,3,1,1,5,311,Low,Concerning
13417,5,10,222.10000000000002,4,3,3,10,433,Top,Safe
13418,12,65,1546.09,4,4,4,12,444,Top,Whale
13419,64,2,14.399999999999999,2,1,1,4,211,Low,ImmediatelyAddress
13420,171,1,10.5,1,1,1,3,111,Low,ImmediatelyAddress
13421,40,19,389.92,3,3,4,10,334,Top,Safe
13422,64,30,670.34,2,4,4,10,244,Top,Safe
13425,108,16,245.07,2,3,3,8,233,Middle,ImmediatelyAddress
13426,1,29,676.5999999999999,4,4,4,12,444,Top,Whale
13427,19,6,148.04,4,2,3,9,423,Top,Safe
13428,10,14,40.93,4,3,1,8,431,Middle,ImmediatelyAddress
13429,11,16,291.16,4,3,3,10,433,Top,Safe
13430,19,8,76.56,4,2,2,8,422,Middle,ImmediatelyAddress
13431,67,9,228.42000000000002,2,2,3,7,223,Middle,Middle
13435,5,22,759.0000000000001,4,4,4,12,444,Top,Whale
13436,2,2,28.2,4,1,1,6,411,Middle,Concerning
13437,14,31,666.36,4,4,4,12,444,Top,Whale
13439,255,16,83.85,1,3,2,6,132,Middle,Concerning
13441,92,1,10.2,2,1,1,4,211,Low,ImmediatelyAddress
13447,23,9,175.69,3,2,3,8,323,Middle,ImmediatelyAddress
13448,17,35,627.49,4,4,4,12,444,Top,Whale
13449,24,2,41.650000000000006,3,1,1,5,311,Low,Concerning
13450,27,14,411.05999999999983,3,3,4,10,334,Top,Safe
13451,26,89,570.73,3,4,4,11,344,Top,Whale
13452,259,2,590.0,1,1,4,6,114,Middle,Concerning
13453,166,4,111.58,1,1,2,4,112,Low,ImmediatelyAddress
13455,25,8,176.63,3,2,3,8,323,Middle,ImmediatelyAddress
13456,18,13,314.09000000000003,4,3,3,10,433,Top,Safe
13458,7,78,1738.2000000000005,4,4,4,12,444,Top,Whale
13460,29,1,17.0,3,1,1,5,311,Low,Concerning
13461,39,4,197.7,3,1,3,7,313,Middle,Middle
13462,253,2,37.8,1,1,1,3,111,Low,ImmediatelyAddress
13464,58,4,84.9,2,1,2,5,212,Low,Concerning
13466,184,5,78.39999999999999,1,2,2,5,122,Low,Concerning
13467,11,23,242.26999999999998,4,4,3,11,443,Top,Whale
13468,2,65,1245.7700000000007,4,4,4,12,444,Top,Whale
13470,99,3,49.5,2,1,1,4,211,Low,ImmediatelyAddress
13471,1,65,693.9600000000002,4,4,4,12,444,Top,Whale
13473,61,6,142.29000000000002,2,2,3,7,223,Middle,Middle
